"letter","class","n"
"a","filtered",0.6572385859822908
"a","snorm",0.09210846041802916
"a","wnorm",0.05863183136648852
"a","pruned",0.15538768295544642
"a","useful",0.03663343927774515
"b","filtered",0.6295747110747557
"b","snorm",0.09360009348520096
"b","wnorm",0.05388950481321127
"b","pruned",0.17542713997150272
"b","useful",0.047508550655329294
"c","filtered",0.6557069878620674
"c","snorm",0.09806684041977475
"c","wnorm",0.05996551231412114
"c","pruned",0.14782958402057622
"c","useful",0.03843107538346052
"d","filtered",0.6517260913775923
"d","snorm",0.09376687526618345
"d","wnorm",0.062466758909631104
"d","pruned",0.1530985281201794
"d","useful",0.03894174632641375
"e","filtered",0.651749462334481
"e","snorm",0.0904230439101544
"e","wnorm",0.06996643809854469
"e","pruned",0.15220394641668836
"e","useful",0.035657109240131546
"f","filtered",0.6612429442448877
"f","snorm",0.092965592292846
"f","wnorm",0.055515374845618526
"f","pruned",0.1535208403200629
"f","useful",0.036755248296584817
"g","filtered",0.6292038844151094
"g","snorm",0.09265239104138628
"g","wnorm",0.051871658545757655
"g","pruned",0.1787636378711226
"g","useful",0.047508428126623994
"h","filtered",0.6447548875135082
"h","snorm",0.09418082981301372
"h","wnorm",0.05113796378164194
"h","pruned",0.16625863706323477
"h","useful",0.04366768182860137
"i","filtered",0.6831453754576053
"i","snorm",0.09115888152577986
"i","wnorm",0.06475550925592749
"i","pruned",0.13298191758325378
"i","useful",0.027958316177433492
"j","filtered",0.640188319419264
"j","snorm",0.10556960834337535
"j","wnorm",0.04405458512913487
"j","pruned",0.16950918979948543
"j","useful",0.040678297308740355
"k","filtered",0.5853455283037159
"k","snorm",0.09279897687529362
"k","wnorm",0.04137241888455544
"k","pruned",0.22392970864808837
"k","useful",0.056553367288346666
"l","filtered",0.6585953000534813
"l","snorm",0.09257019588026846
"l","wnorm",0.049509369497159846
"l","pruned",0.15884731650573097
"l","useful",0.04047781806335937
"m","filtered",0.6358233199189451
"m","snorm",0.0981933215026822
"m","wnorm",0.05353680970384117
"m","pruned",0.16689827129009596
"m","useful",0.04554827758443552
"n","filtered",0.6516647199441334
"n","snorm",0.09399481461550545
"n","wnorm",0.053830636694916174
"n","pruned",0.15877012758161071
"n","useful",0.0417397011638342
"o","filtered",0.6538437424723892
"o","snorm",0.08836136491877605
"o","wnorm",0.06288875469805412
"o","pruned",0.16127648481608706
"o","useful",0.03362965309469363
"p","filtered",0.6460568887504934
"p","snorm",0.09867099334745513
"p","wnorm",0.05931636258349825
"p","pruned",0.15673155322104176
"p","useful",0.03922420209751148
"q","filtered",0.6551047786464357
"q","snorm",0.09715501688485914
"q","wnorm",0.04701855021510848
"q","pruned",0.1625664985890734
"q","useful",0.038155155664523294
"r","filtered",0.6583913552429477
"r","snorm",0.08902218703692426
"r","wnorm",0.06411054498868883
"r","pruned",0.1514963901237575
"r","useful",0.03697952260768167
"s","filtered",0.6439287121632868
"s","snorm",0.0950533557813315
"s","wnorm",0.0545472184630243
"s","pruned",0.16403625762293578
"s","useful",0.042434455969421594
"t","filtered",0.6521856188152133
"t","snorm",0.09856719389907748
"t","wnorm",0.05079735356855362
"t","pruned",0.16011398122056397
"t","useful",0.038335852496591674
"u","filtered",0.6347156997933023
"u","snorm",0.09515085573956653
"u","wnorm",0.075264245777242
"u","pruned",0.15648048958540195
"u","useful",0.03838870910448721
"v","filtered",0.631154371221389
"v","snorm",0.09643990567877596
"v","wnorm",0.04992863854759499
"v","pruned",0.18005469567221602
"v","useful",0.042422388880024114
"w","filtered",0.6885793653898822
"w","snorm",0.08152314253296294
"w","wnorm",0.04098165029930748
"w","pruned",0.15195625806956453
"w","useful",0.0369595837082828
"x","filtered",0.6961875945537065
"x","snorm",0.11001512859304084
"x","wnorm",0.02157337367624811
"x","pruned",0.13860816944024207
"x","useful",0.03361573373676248
"y","filtered",0.6553253042357159
"y","snorm",0.09483978491242413
"y","wnorm",0.030250621049652527
"y","pruned",0.17596930914122197
"y","useful",0.04361498066098551
"z","filtered",0.5984938450398262
"z","snorm",0.08729181752353367
"z","wnorm",0.036422881969587255
"z","pruned",0.22245474293989861
"z","useful",0.05533671252715423
"sum","filtered",0.6485535259107863
"sum","snorm",0.09421645714798478
"sum","wnorm",0.0560339457520139
"sum","pruned",0.16098363683197017
"sum","useful",0.04021243435724481
