maxerror,level0,level1,level2,level3,level4,level5,level6,level7,levelx,mean,std,min,q002,q009,q025,q045,median,q055,q075,q091,q098,max,limit1,limit2,sdiff,enew
0.001,1,0.999549,0.999257,0.999046,0.998835,0.998577,0.998188,0.994694,0.996585,-0.00038,0.00007,-0.00103,-0.00053,-0.00047,-0.00042,-0.00039,-0.00038,-0.00037,-0.00034,-0.00029,-0.00024,0.00032,14,14,0.07143,0.07143
0.002,1,0.978527,0.957407,0.939559,0.92218,0.901346,0.871563,0.613151,0.753586,-0.00038,0.00007,-0.00106,-0.00053,-0.00047,-0.00042,-0.00039,-0.00038,-0.00037,-0.00034,-0.00029,-0.00024,0.00032,14,14,0.07143,0.07143
0.005,1,0.883388,0.804452,0.746435,0.690063,0.624292,0.464357,0.0127328,0.291463,-0.00038,0.00009,-0.00153,-0.00057,-0.00049,-0.00043,-0.00039,-0.00038,-0.00037,-0.00033,-0.00027,-0.00020,0.00100,14,14,0.07143,0.07143
0.01,1,0.849901,0.754542,0.686061,0.616298,0.526026,0.321745,0.000879663,0.229821,-0.00024,0.00036,-0.00628,-0.00101,-0.00066,-0.00043,-0.00027,-0.00023,-0.00019,-0.00003,0.00019,0.00048,0.00612,14,14,0.35714,0.07143
0.02,1,0.849891,0.753845,0.685487,0.615899,0.525616,0.206866,0.000354832,0.20062,0.00028,0.00129,-0.01428,-0.00227,-0.00125,-0.00049,0.00010,0.00024,0.00038,0.00101,0.00192,0.00311,0.01593,14,5,0.50000,0.14286
0.05,1,0.849785,0.75371,0.685323,0.615576,0.521552,0.0800561,0.00013696,0.168145,-0.00067,0.00471,-0.04112,-0.01000,-0.00628,-0.00345,-0.00132,-0.00083,-0.00034,0.00193,0.00505,0.00930,0.05755,14,8,0.50000,0.14286
0.1,1,0.849669,0.753578,0.685195,0.614608,0.503958,0.0298453,7.07953e-05,0.153234,-0.00952,0.01097,-0.06658,-0.03173,-0.02352,-0.01597,-0.01053,-0.00937,-0.00824,-0.00340,0.00290,0.01339,0.12265,14,3,0.92857,0.57143
0.2,0.999999,0.849645,0.753572,0.6849,0.611382,0.438607,0.00911522,3.57333e-05,0.139601,-0.01792,0.01595,-0.13373,-0.05072,-0.03809,-0.02748,-0.01958,-0.01784,-0.01611,-0.00861,0.00117,0.01494,0.17445,14,9,0.92857,0.64286
0.5,0.999995,0.848207,0.751473,0.680333,0.584293,0.183879,0.00156857,1.49334e-05,0.103843,-0.05267,0.06874,-0.35327,-0.20203,-0.14755,-0.09511,-0.05609,-0.04813,-0.04056,-0.00983,0.03036,0.09082,0.45762,14,10,0.92857,0.92857
1,0.99999,0.848762,0.746374,0.661891,0.459936,0.0341836,0.000329781,7.95802e-06,0.0762867,-0.05533,0.10001,-0.36089,-0.19922,-0.15307,-0.11198,-0.07765,-0.06947,-0.06107,-0.02036,0.04768,0.21646,1.08399,14,6,0.92857,0.85714
2,0.999315,0.82272,0.692461,0.508558,0.113239,0.00315823,5.94225e-05,4.17358e-06,0.044707,-0.07879,0.15998,-0.48102,-0.29821,-0.23916,-0.17827,-0.12230,-0.10830,-0.09379,-0.02065,0.11353,0.40485,1.51614,14,13,0.92857,0.92857
5,0.982287,0.710953,0.375938,0.0613684,0.00193608,6.07845e-05,5.33129e-06,1.36201e-06,0.0173817,0.11165,0.29697,-0.55620,-0.27404,-0.17897,-0.07192,0.03398,0.06096,0.08910,0.22558,0.43427,0.90834,3.34625,14,12,0.92857,0.92857
10,3.61127e-05,9.33949e-06,2.49053e-06,1.55658e-06,1.32309e-06,1.28418e-06,1.24526e-06,1.24526e-06,1.48455e-06,0.07808,0.42697,-1.00000,-0.76682,-0.32610,-0.17085,-0.01567,0.02367,0.06519,0.26287,0.53627,1.14621,4.74953,14,19146,1.00000,1.00000,=========== END ===========
